Datetime,Symbol,Buy Price,Sell Price,Profit
"Ticker
    2025-04-17 14:33:00+00:00
Name: 50, dtype: object",AAPL,"Ticker
AAPL    196.059998
Name: 49, dtype: object","Ticker
AAPL    196.2435
Name: 50, dtype: object","Ticker
AAPL    0.183502
dtype: object"
"Ticker
    2025-04-17 14:34:00+00:00
Name: 51, dtype: object",AAPL,"Ticker
AAPL    196.2435
Name: 50, dtype: object","Ticker
AAPL    196.360001
Name: 51, dtype: object","Ticker
AAPL    0.116501
dtype: object"
"Ticker
    2025-04-17 14:39:00+00:00
Name: 56, dtype: object",AAPL,"Ticker
AAPL    195.899994
Name: 55, dtype: object","Ticker
AAPL    196.229996
Name: 56, dtype: object","Ticker
AAPL    0.330002
dtype: object"
"Ticker
    2025-04-17 14:40:00+00:00
Name: 57, dtype: object",AAPL,"Ticker
AAPL    196.229996
Name: 56, dtype: object","Ticker
AAPL    196.789993
Name: 57, dtype: object","Ticker
AAPL    0.559998
dtype: object"
"Ticker
    2025-04-17 14:42:00+00:00
Name: 59, dtype: object",AAPL,"Ticker
AAPL    196.779999
Name: 58, dtype: object","Ticker
AAPL    196.919998
Name: 59, dtype: object","Ticker
AAPL    0.139999
dtype: object"
"Ticker
    2025-04-17 14:50:00+00:00
Name: 67, dtype: object",AAPL,"Ticker
AAPL    196.274994
Name: 66, dtype: object","Ticker
AAPL    196.309998
Name: 67, dtype: object","Ticker
AAPL    0.035004
dtype: object"
"Ticker
    2025-04-17 14:53:00+00:00
Name: 70, dtype: object",AAPL,"Ticker
AAPL    195.801498
Name: 69, dtype: object","Ticker
AAPL    195.889999
Name: 70, dtype: object","Ticker
AAPL    0.088501
dtype: object"
"Ticker
    2025-04-17 14:54:00+00:00
Name: 71, dtype: object",AAPL,"Ticker
AAPL    195.889999
Name: 70, dtype: object","Ticker
AAPL    196.005005
Name: 71, dtype: object","Ticker
AAPL    0.115005
dtype: object"
"Ticker
    2025-04-17 14:57:00+00:00
Name: 74, dtype: object",AAPL,"Ticker
AAPL    195.860001
Name: 73, dtype: object","Ticker
AAPL    195.932693
Name: 74, dtype: object","Ticker
AAPL    0.072693
dtype: object"
"Ticker
    2025-04-17 14:58:00+00:00
Name: 75, dtype: object",AAPL,"Ticker
AAPL    195.932693
Name: 74, dtype: object","Ticker
AAPL    195.961197
Name: 75, dtype: object","Ticker
AAPL    0.028503
dtype: object"
